Alojamiento,Precio,Puntuación,Reseñas,Ubicación,Estrellas,Distrito,Ciudad
Modern Oasis in Vallecas,1037.0,0.0,0,"Villa de Vallecas, Madrid",0.0,Villa de Vallecas,Madrid
Alhambra Suites,2700.0,8.1,3217,"Centro de Madrid, Madrid",3.0,Centro de Madrid,Madrid
Holiday home in tranquil setting,171.39,0.0,0,"Moncloa - Aravaca, Madrid",0.0,Moncloa - Aravaca,Madrid
Moderno apartamento inteligente,1784.0,8.2,39,"Moncloa - Aravaca, Madrid",0.0,Moncloa - Aravaca,Madrid
Homelikes Madrid,1373.0,8.4,87,"Carabanchel, Madrid",0.0,Carabanchel,Madrid
Villa with outdoor area,115.75,0.0,0,"Moncloa - Aravaca, Madrid",0.0,Moncloa - Aravaca,Madrid
La Casa de Mondariz,1344.0,2.4,8,"Fuencarral - El Pardo, Madrid",0.0,Fuencarral - El Pardo,Madrid
Hostal Tudescos,1701.0,8.3,101,"Centro de Madrid, Madrid",1.0,Centro de Madrid,Madrid
Charming Parque de la Emperatriz,693.0,5.9,7,"Carabanchel, Madrid",0.0,Carabanchel,Madrid
Luxe Apartment in Tetuan,897.0,4.0,27,"Tetuán, Madrid",0.0,Tetuán,Madrid
El Descanso de Espronceda,1124.0,3.4,14,"Chamberí, Madrid",0.0,Chamberí,Madrid
Apartamentos TravelStep La Latina,1368.0,6.2,153,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
AP Hotel Madrid Airport,1217.0,7.1,3158,"Barajas, Madrid",3.0,Barajas,Madrid
"Historia Madrileña para 4, vive en Calle del Aguila E3",1209.0,6.4,31,"Centro de Madrid, Madrid",0.0,Centro de Madrid,Madrid
AMA MADRID Metropolitano 15,1088.0,7.2,8,"San Blas, Madrid",0.0,San Blas,Madrid
Hotel Los 5 Pinos,1406.0,8.6,1399,"San Blas, Madrid",3.0,San Blas,Madrid
